dataset,seed,case,accuracy,precision,recall,f1,status,authorized_roundtrip_mae
cicids2017_binary_balanced,45,5_full_normalization_permutation_aes_gcm_local_ledger,0.9761317452486667,0.9791840658041948,0.9729594313182082,0.97606182457904,evaluated,0.0
cicids2017_binary_balanced,46,1_cnn_bilstm_mlp_no_protection,0.9788331826171378,0.9807084819814864,0.9768932722789716,0.9787971593605032,evaluated,
cicids2017_binary_balanced,46,2_normalization_only,0.9746013850231164,0.9829622844398422,0.9659582795193926,0.9743861034346624,evaluated,
cicids2017_binary_balanced,46,3_normalization_plus_permutation_no_encryption,0.9793381797398286,0.9784220435777844,0.9803060545575516,0.9793631429956676,evaluated,
cicids2017_binary_balanced,46,4_aes_gcm_only_no_permutation,0.9788331826171378,0.9807084819814864,0.9768932722789716,0.9787971593605032,evaluated,0.0
cicids2017_binary_balanced,46,5_full_normalization_permutation_aes_gcm_local_ledger,0.9746013850231164,0.9829622844398422,0.9659582795193926,0.9743861034346624,evaluated,0.0
train_test_network,42,1_cnn_bilstm_mlp_no_protection,0.9939013704391714,0.9955842467442224,0.9966118428433596,0.9960977797712492,evaluated,
train_test_network,42,2_normalization_only,0.9939013704391714,0.9959399744285682,0.9962528328135168,0.9960963790550544,evaluated,
train_test_network,42,3_normalization_plus_permutation_no_encryption,0.9939013704391714,0.9959177264876746,0.996275270940382,0.9960964666292764,evaluated,
train_test_network,42,4_aes_gcm_only_no_permutation,0.9939013704391714,0.9955842467442224,0.9966118428433596,0.9960977797712492,evaluated,0.0
train_test_network,42,5_full_normalization_permutation_aes_gcm_local_ledger,0.9939013704391714,0.9959399744285682,0.9962528328135168,0.9960963790550544,evaluated,0.0
train_test_network,43,1_cnn_bilstm_mlp_no_protection,0.9909273664889432,0.9932884404572808,0.995091667040208,0.9941892360916734,evaluated,
train_test_network,43,2_normalization_only,0.9911021763831832,0.9932678759142044,0.995338204312161,0.9943019624086245,evaluated,
train_test_network,43,3_normalization_plus_permutation_no_encryption,0.9916440870553274,0.9940676068950078,0.9952261419158188,0.9946465370486516,evaluated,
train_test_network,43,4_aes_gcm_only_no_permutation,0.9909273664889432,0.9932884404572808,0.995091667040208,0.9941892360916734,evaluated,0.0
train_test_network,43,5_full_normalization_permutation_aes_gcm_local_ledger,0.9911021763831832,0.9932678759142044,0.995338204312161,0.9943019624086245,evaluated,0.0
train_test_network,44,1_cnn_bilstm_mlp_no_protection,0.993003445802942,0.9950659370234144,0.9959594145640658,0.9955124753186142,evaluated,
train_test_network,44,2_normalization_only,0.9933707648982876,0.9950016810489746,0.996498159288857,0.9957493579175218,evaluated,
train_test_network,44,3_normalization_plus_permutation_no_encryption,0.993003445802942,0.9949105421281556,0.9961165484421298,0.9955131800336512,evaluated,
train_test_network,44,4_aes_gcm_only_no_permutation,0.993003445802942,0.9950659370234144,0.9959594145640658,0.9955124753186142,evaluated,0.0
train_test_network,44,5_full_normalization_permutation_aes_gcm_local_ledger,0.9933707648982876,0.9950016810489746,0.996498159288857,0.9957493579175218,evaluated,0.0
train_test_network,45,1_cnn_bilstm_mlp_no_protection,0.9937764413831685,0.9956056767482008,0.9964098997015728,0.9960076258831444,evaluated,
train_test_network,45,2_normalization_only,0.9934268032586272,0.995470344208992,0.9960957659254606,0.9957829568650322,evaluated,
train_test_network,45,3_normalization_plus_permutation_no_encryption,0.9933743575399462,0.9954700394689632,0.9960284515448652,0.995749167218116,evaluated,
train_test_network,45,4_aes_gcm_only_no_permutation,0.9937764413831685,0.9956056767482008,0.9964098997015728,0.9960076258831444,evaluated,0.0
train_test_network,45,5_full_normalization_permutation_aes_gcm_local_ledger,0.9934268032586272,0.995470344208992,0.9960957659254606,0.9957829568650322,evaluated,0.0
train_test_network,46,1_cnn_bilstm_mlp_no_protection,0.9937816391949412,0.995778885446136,0.9962486241211224,0.9960136993992476,evaluated,
train_test_network,46,2_normalization_only,0.993606474101841,0.9955998563218392,0.99620369746389,0.9959016853617184,evaluated,
train_test_network,46,3_normalization_plus_permutation_no_encryption,0.9935188915552908,0.9954658705752956,0.9962261607925064,0.9958458705708,evaluated,
train_test_network,46,4_aes_gcm_only_no_permutation,0.9937816391949412,0.995778885446136,0.9962486241211224,0.9960136993992476,evaluated,0.0
train_test_network,46,5_full_normalization_permutation_aes_gcm_local_ledger,0.993606474101841,0.9955998563218392,0.99620369746389,0.9959016853617184,evaluated,0.0
